title,domain,score,country_code,reg_dtime
Suspected phishing site | Cloudflare,aHR0cDovL2tta21rai5mampsbGpnZmhmLndvcmtlcnMuZGV2,Low,,2025-09-08 02:30:39 (UTC)
403 Forbidden,aHR0cDovL3VwZGF0ZS5hY2NvdW50LnN1cHBvcnQubG9naW4ub3VwemNqLmNu,Low,SG,2025-09-08 02:32:28 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhNTc2NzU2MC5jZmQ=,Critical,,2025-09-08 02:34:50 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGEwNTQwMDkuaWN1,Low,,2025-09-08 02:35:51 (UTC)
My Framer Site,aHR0cDovL2FkYXB0YWJsZS1hY2NvdW50LTgwMDgxNi5mcmFtZXIuYXBw,Low,US,2025-09-08 02:36:57 (UTC)
Mattermost,aHR0cDovL3lhbmRleC5wYXkucGF5LmF2aXRvLmJsYWJsYWNhci5naXRsYWIuY2o2eHhrdmNjbjVsZDV2Lmsuc21hdHRlcm1vc3QuY29t,Critical,US,2025-09-08 02:39:11 (UTC)
Zimbra Web Client Sign In,aHR0cDovL3d3dy50cmlhbmdsZS1saWxhYy52ZXJjZWwuYXBw,Low,US,2025-09-08 02:40:04 (UTC)
404: NOT_FOUND,aHR0cDovL2V4Y2x1ZGVkLWdhdGUudmVyY2VsLmFwcA==,Low,US,2025-09-08 02:41:02 (UTC)
Sign in - Google Accounts,aHR0cDovL29yYml0LTE3NTI4NDc1ODA2Mzkuc3RhdGljcnVuLmFwcA==,Low,US,2025-09-08 02:44:55 (UTC)
The app is currently not running. Deploy this app to keep it running externally.,aHR0cDovLzk4ZWM1OWI1LWVmMDEtNGQ4OS04ZWU0LTA2Y2VlMTNhNWJkYi0wMC0yenRranpndXNlMTdsLndvcmYucmVwbGl0LmRldg==,Low,US,2025-09-08 02:45:52 (UTC)
Deployment Unavailable,aHR0cDovL2hneGstbWFuYWdlcnN1cG9ydGZiMTA1NDg4LnZlcmNlbC5hcHA=,Low,US,2025-09-08 02:49:27 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGE1ODI5MzEuaWN1,Low,,2025-09-08 02:50:41 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhNTg0NDk2MS5zaG9w,Low,,2025-09-08 02:53:42 (UTC)
Suspected phishing site | Cloudflare,aHR0cDovL25ldy10cnpyc3VpdGUtYXBwcy1kZ3QucGFnZXMuZGV2,Low,,2025-09-08 02:54:35 (UTC)
,aHR0cDovL2FsbGVncm8ucGwta2F0ZWdvcmlhNjQxODc5Mjc4NDk4MjE0MDk0NzIzNzYuc2hvcA==,Critical,,2025-09-08 02:55:27 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhNTk0MDg5OC5zaG9w,Low,,2025-09-08 02:57:09 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5vZmVydGEyODc0MTg2NC5pY3U=,Low,,2025-09-08 03:00:23 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGE0NzA1NjM0LnNicw==,Low,,2025-09-08 03:02:27 (UTC)
"Blockchain Rectification - We are help to help you resolve your crypto related issues One wallet, multiverse support",aHR0cDovL3d3dy5yZWN0aWZ5aXNzdWVzLnZlcmNlbC5hcHA=,Low,US,2025-09-08 03:04:14 (UTC)
404: NOT_FOUND,aHR0cDovL3VwbG9hZHMtZ2Fpbi52ZXJjZWwuYXBw,Low,US,2025-09-08 03:04:59 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGE4OTQxNzE1NzE1LmljdQ==,Critical,,2025-09-08 03:10:42 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhNDkzMzA2NC5pY3U=,Critical,,2025-09-08 03:12:26 (UTC)
,aHR0cDovL2FsbGVncm8ucGwta2F0ZWdvcmlhOTg0MTI3NjgxNDIwOTgxMjQyLnNob3A=,Critical,,2025-09-08 03:13:14 (UTC)
,aHR0cDovL3doYXRzLXZqLnZpcA==,Critical,HK,2025-09-08 03:14:53 (UTC)
Site not found,aHR0cDovL3Jlbm92YXItMzY1YWxtYWNlbmFtaWVudG8ubmV0bGlmeS5hcHA=,Critical,SG,2025-09-08 03:16:47 (UTC)
Suspected phishing site | Cloudflare,aHR0cDovL25kLWV4LWxvZ2luLnBhZ2VzLmRldg==,Low,,2025-09-08 03:17:50 (UTC)
Suspected phishing site | Cloudflare,aHR0cDovL3N0YXJhdC1lbi10cmV6b3JyLnBhZ2VzLmRldg==,Low,,2025-09-08 03:20:45 (UTC)
Site not found · GitHub Pages,aHR0cDovL3JpdGlrYXBhbmRleTYzLmdpdGh1Yi5pbw==,Low,US,2025-09-08 03:23:40 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGExMTAyNTYxLnNob3A=,Low,,2025-09-08 03:25:46 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhMDA3MTIxLmljdQ==,Critical,,2025-09-08 03:31:43 (UTC)
Suspected phishing site | Cloudflare,aHR0cDovL2xlYXJuLW1hdGFhc2stZXh0ZXNpb24ucGFnZXMuZGV2,Low,,2025-09-08 03:35:27 (UTC)
네이버 로그인,aHR0cDovL3d3dy4wODg4bmF2ZWFua29yZWEtb25laW5hbWlsbGlvbi1jbGFzcy52ZXJjZWwuYXBw,Low,US,2025-09-08 03:37:08 (UTC)
1xbet-vhod1.top,aHR0cDovL3lvdWxhLnlhbmRleC4xeGJldC12aG9kMS50b3A=,Critical,US,2025-09-08 03:38:16 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhMTA1MjY4MzcyNDMxOTUwMi5saW5r,Critical,,2025-09-08 03:43:57 (UTC)
Suspected phishing site | Cloudflare,aHR0cDovL3NhZmUtdHJlenItYXV0aHMucGFnZXMuZGV2,Low,,2025-09-08 03:45:35 (UTC)
qtttfdq.cn | 521: Web server is down,aHR0cDovL3F0dHRmZHEuY24=,Low,,2025-09-08 03:46:47 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGEwMjAxMjEuaWN1,Low,,2025-09-08 03:49:00 (UTC)
404 Not Found,aHR0cDovL2FsZWdyb2xva2FsbmllLnBsLW9mZXJ0YTIzNDA5LmljdQ==,Low,,2025-09-08 03:55:20 (UTC)
boutiqueorganique.com,aHR0cDovL2x6ZXFsd3d3LmZhY2Vib29rLmJvdXRpcXVlb3JnYW5pcXVlLmNvbQ==,Critical,US,2025-09-08 03:59:31 (UTC)
Amazon 2.0,aHR0cDovL3d3dy5hbWF6b24tY2xvbmUtaW90YS1vbmUudmVyY2VsLmFwcA==,Low,US,2025-09-08 04:03:25 (UTC)
Site not found · GitHub Pages,aHR0cDovL2d1c3Rhdm9taWVjLmdpdGh1Yi5pbw==,Low,US,2025-09-08 04:10:28 (UTC)
Site not found,aHR0cDovL21hbGwtbWluaXN0cnlvZmZpbmFuY2UtbnAubmV0bGlmeS5hcHA=,Low,SG,2025-09-08 04:14:32 (UTC)
Amazon clone by Zayan,aHR0cDovL2FtYXpvbmNsb25lemF5YW4ubmV0bGlmeS5hcHA=,Low,SG,2025-09-08 04:15:54 (UTC)
,aHR0cDovL2FsbGVncm8ucGwtb2ZlcnRhMTEwMjU2MS5zaG9w,Low,,2025-09-08 04:20:43 (UTC)
Run this app to see the results here.,aHR0cDovLzY0MDE4YjdlLWM2ZTgtNDhkYy04YjM4LTA5ZmNmMTlkN2ZmYi0wMC1reXJ6aDFkcGlkYnQud29yZi5yZXBsaXQuZGV2,Low,US,2025-09-08 04:22:49 (UTC)
,aHR0cDovL2FsbGVncm9sb2thbG5pZS5wbC1vZmVydGEwOTIzNDE5LmNmZA==,Critical,,2025-09-08 04:24:42 (UTC)
