title,domain,score,country_code,reg_dtime
"Netflix India - Watch TV Shows Online, Watch Movies Online",aHR0cDovL25ldGZsaXgtY2xvbmUtb25lLWJpY2UudmVyY2VsLmFwcA==,Low,US,2026-09-12 02:20:13 (UTC)
Forms,aHR0cDovL3N1cG9ydC1jb2luc3F1YXJlLnphcGllci5hcHA=,Low,US,2026-09-12 02:20:34 (UTC)
NDAX™ Login — Official Sign In,aHR0cDovL25keC1pby1zdGFydC56YXBpZXIuYXBw,Low,US,2026-09-12 02:20:55 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2xlZGdlci1jb20tYXV0aC1zdGFydHMucGFnZXMuZGV2,Low,,2026-09-12 02:21:16 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2xlZGdlcnItY29tLWVuZy5wYWdlcy5kZXY=,Low,,2026-09-12 02:21:36 (UTC)
Security verification - Microsoft account,aHR0cDovL3NlY3VyZS1pbmZvLXBhZ2UtLWtsYXM3LnJlcGxpdC5hcHA=,Low,US,2026-09-12 02:22:16 (UTC)
Document Access Portal,aHR0cDovL3Byb3RlY3BhY2tvbmxpbmVkb2N1bWVudC15bWFmZy5vbmRpZ2l0YWxvY2Vhbi5hcHA=,Low,US,2026-09-12 02:22:35 (UTC)
Wkrótce,aHR0cDovL2RpODJhdm9sOTIuY2xpY2s=,Critical,TR,2026-09-12 02:22:56 (UTC)
Meta Verified - Rewards for you,aHR0cDovL3d3dy52ZXJpZmllZGJhZGdlLWF1cm9yYS52ZXJjZWwuYXBw,Low,US,2026-09-12 02:23:27 (UTC)
"Yahoo | Mail, Weather, Search, Politics, News, Finance, Sports & Videos",aHR0cDovL3N0YXRpYy53YXZlLXdoYXRzYXBwLmNvbQ==,Safe,,2026-09-12 02:24:19 (UTC)
"One moment, please...",aHR0cDovL2RobC1leHByZXNzbXkuY29t,Critical,ID,2026-09-12 02:25:11 (UTC)
Swisscom Login,aHR0cDovL215LXN3aXNzY29tbS52ZXJjZWwuYXBw,Low,US,2026-09-12 02:25:32 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2lzbGFuZC1waW5lLnBhZ2VzLmRldg==,Low,,2026-09-12 02:26:03 (UTC)
Transfer Trust Wallet,aHR0cDovL2JuYi10cnVzdC13YWxsZXQudmVyY2VsLmFwcA==,Low,US,2026-09-12 02:26:24 (UTC)
Login | Sign In | Access your account | KuCoin,aHR0cDovL2t1Y29pbnMtc2lnbmluLmNvbQ==,Critical,,2026-09-12 02:26:55 (UTC)
MoonPay Commerce | Sell more with crypto ⚡️,aHR0cDovL21vb25wYXktY29tbWVyY2UtZ2l0LWFzaGJha2VyLWNvbTItMzk3Ny1zb2xhbmEtYS0zMWQxZjUtaGVsaW9maS52ZXJjZWwuYXBw,Low,US,2026-09-12 02:27:26 (UTC)
论坛,aHR0cDovL3NiZXJtYXJrZXQud3d3Lm5hbG96aGthLnNzcWtmZXEwNGg4bWZtYmoud3d3LnNiZXJiYW5rLnBvY2h0YWJhbmsuY2xhaWQzYzU0LjE4YmY0ZC50b3A=,Critical,US,2026-09-12 02:27:57 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL3dlYnBhZ2UtZW4tbGVnb3Itc3RhcnQucGFnZXMuZGV2,Low,,2026-09-12 02:28:28 (UTC)
Easybank landing page,aHR0cDovL3d3dy5lYXN5LWJhbmstcGVhY2gudmVyY2VsLmFwcA==,Low,US,2026-09-12 02:29:21 (UTC)
Netflix - Entrar,aHR0cDovL2ZyYW5jaXNjb2pmY29zdGExNzg3ODY1MjkxMTEzLjA3MjAwNTgubWV1c2l0ZWhvc3RnYXRvci5jb20uYnI=,Low,,2026-09-12 02:29:42 (UTC)
Site not found,aHR0cDovL3Nzby11cGhvbGQtY29tLWF1dGgteC1hdXRoLm5ldGxpZnkuYXBw,Low,SG,2026-09-12 02:30:03 (UTC)
论坛,aHR0cDovL3NiZXJiYW5rLnNiZXJtZWdhbWFya2V0Lm5vdGV4aXN0c3BheS5zYmVybWFya2V0LnczaGhia3Vydm1qdDFvZDAuODZmZDdlLnRvcA==,Critical,US,2026-09-12 02:30:24 (UTC)
Netflix Clone,aHR0cDovL3ZlbmVyYWJsZS1mcm95by1jYjNkMzIubmV0bGlmeS5hcHA=,Low,SG,2026-09-12 02:32:50 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2hhcmR3YXJlLWVuLXRyZXpyZS5wYWdlcy5kZXY=,Low,,2026-09-12 02:34:50 (UTC)
Site not found,aHR0cDovL3dlcmlmeXNlcndpcy5uZXRsaWZ5LmFwcA==,Low,SG,2026-09-12 02:35:14 (UTC)
"One moment, please...",aHR0cDovL3VzcHNzdGFtcHN0b2dvLmNvbQ==,Critical,US,2026-09-12 02:35:35 (UTC)
,aHR0cDovL3NpZ25pbmF0dGNvbWR5bmFtaWNpbHJpYXBsb2dpbmpvcnBvMjRubWUubWFpbHNlcnZlcmFwaS53b3JrZXJzLmRldg==,Low,,2026-09-12 02:35:56 (UTC)
Coinbase Pro | Digital® Asset*,aHR0cDovL2NvaW5iYXMtZW5wcm8uemFwaWVyLmFwcA==,Low,US,2026-09-12 02:36:17 (UTC)
PORTAL - Mail Authentication,aHR0cDovL3NlY3VyaXR5LXNlcnZlci1wYWdlLS1lbGlzYWJldGg3OWhhbnMucmVwbGl0LmFwcA==,Low,US,2026-09-12 02:36:48 (UTC)
Webmail :: Login,aHR0cDovL2h0bWwtd2Vic2l0ZS0tY2VsaW5lZGVsY291cnRlLnJlcGxpdC5hcHA=,Low,US,2026-09-12 02:37:09 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL3N1cHBvcnRoc2Jjc2VjdXJlLmNvbQ==,Critical,,2026-09-12 02:37:30 (UTC)
netflix,aHR0cDovL21vdmllZGJjbG9uZWZpcnN0Lm5ldGxpZnkuYXBw,Low,SG,2026-09-12 02:37:50 (UTC)
WeTransfer,aHR0cDovL3dlLXRyYW5mZXItZmlsZWRvd25sb2FkLnZlcmNlbC5hcHA=,Low,US,2026-09-12 02:38:11 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2FwcC5jb2luYmFzZTg4LnRvcA==,Critical,,2026-09-12 02:38:32 (UTC)
Ledger Wallet (ex. Ledger Live) - Crypto App | Ledger,aHR0cDovL2VuZy11c2EuYXBw,Critical,,2026-09-12 02:38:53 (UTC)
Netflix Clone,aHR0cDovL25ldGZ4Y2xvbmUubmV0bGlmeS5hcHA=,Low,SG,2026-09-12 02:39:24 (UTC)
Deployment Unavailable,aHR0cDovL3d3dy5mYi1tZXRhLXZlcmlmaWVkLTM2NTgtc2FnZS52ZXJjZWwuYXBw,Low,US,2026-09-12 02:40:07 (UTC)
恭喜，站点创建成功！,aHR0cDovL3VwZGF0ZS5nb29maXNoNi5jYw==,Critical,,2026-09-12 02:40:29 (UTC)
Facebook,aHR0cDovL2ZhY2Vib29rLWJheS52ZXJjZWwuYXBw,Low,US,2026-09-12 02:41:10 (UTC)
Genrate Report Trust Wallet,aHR0cDovL25ldy1oaW1hbnNodS1zeXMudmVyY2VsLmFwcA==,Low,US,2026-09-12 02:41:31 (UTC)
verifius2026.netlify.app,aHR0cDovL3ZlcmlmaXVzMjAyNi5uZXRsaWZ5LmFwcA==,Low,SG,2026-09-12 02:41:52 (UTC)
Facebook,aHR0cDovL2ZiLWxvZ2luLXBhZ2UudmVyY2VsLmFwcA==,Low,US,2026-09-12 02:42:13 (UTC)
Bank of America,aHR0cDovL2JhbmtvZmFtZXJpY2EtdXNjb20udmVyY2VsLmFwcA==,Low,US,2026-09-12 02:42:34 (UTC)
Facebook,aHR0cDovL2ZhY2Vib29rYm9udXMuZW1tYW51ZWxkZWdyZWF0bHRkLmNvbQ==,Critical,US,2026-09-12 02:43:06 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL3Rhdnphdm8ta3h0LXFlbG1vcmEtcjl0MWhrNjMucGFnZXMuZGV2,Low,,2026-09-12 02:46:29 (UTC)
,aHR0cDovL29wZW5pbmFwcC5saW5r,Low,,2026-09-12 02:47:00 (UTC)
Access Blocked,aHR0cDovL2NmbS13aGF0c2FwcHMuY29t,Critical,SC,2026-09-12 02:47:31 (UTC)
