title,domain,score,country_code,reg_dtime
"Yahoo | Mail, Weather, Search, Politics, News, Finance, Sports & Videos",aHR0cDovL2NhbmFyeS5zZWMtd2hhdHNhcHAuY29t,Critical,SG,2026-09-10 02:20:02 (UTC)
Accueil — Jardin & Potager,aHR0cDovL2F2YW5jZW1lbnQ5MjMwZS5hNmZiYjBqYy5wcm8=,Moderate,,2026-09-10 02:21:34 (UTC)
Meta Verified - Rewards for you,aHR0cDovL3d3dy5mYi1tZXRhLXZlcmlmaWVkLTI1MDE3LnZlcmNlbC5hcHA=,Low,US,2026-09-10 02:22:16 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2xwcjQ3LTE1NXB6LW12azYyLTE1NWxzLTRiMWM1ZC1scHI0Ny0xNTVjLnBhZ2VzLmRldg==,Low,,2026-09-10 02:22:58 (UTC)
Suspected Malware | Cloudflare,aHR0cDovL3prdHAyNmYwNWRyLXl3c2Q3bHB3LTFuNGwyZC15dzA4OGEucGFnZXMuZGV2,Low,,2026-09-10 02:23:49 (UTC)
SHOPEE 2021,aHR0cDovL3Nob3BlZS1qa3Q1MTcuYmxvZ3Nwb3QuY29t,Low,US,2026-09-10 02:24:10 (UTC)
Suspected Malware | Cloudflare,aHR0cDovL3J2bGpoMmExNnZzLWZzZ2N5bWphLTZ0OXMxZy1ydmw1NGMucGFnZXMuZGV2,Low,,2026-09-10 02:24:51 (UTC)
Site not found · GitHub Pages,aHR0cDovL2FudXJhZ21hbGkyNC5naXRodWIuaW8=,Low,US,2026-09-10 02:25:33 (UTC)
"Meta Verified for businesses | Verify your business on Facebook, Instagram and WhatsApp | Meta for Business",aHR0cDovL3ZlcmlmeWJsdWVjaGVja21hcmstZWlnaHQudmVyY2VsLmFwcA==,Low,US,2026-09-10 02:26:15 (UTC)
Deployment Unavailable,aHR0cDovL2FjY291bnQtdmVyaWZpY2F0aW9uLWNhc2U4MzUudmVyY2VsLmFwcA==,Low,US,2026-09-10 02:27:07 (UTC)
"Yahoo | Mail, Weather, Search, Politics, News, Finance, Sports & Videos",aHR0cDovL3B1YmxpYy5zZWMtd2hhdHNhcHAuY29t,Critical,HK,2026-09-10 02:27:18 (UTC)
Deployment Unavailable,aHR0cDovL3d3dy5hZHMtYnVzaW5lc3Mtc2VydmljZXMtYmx1ZXRpY2s2ODY4di52ZXJjZWwuYXBw,Low,US,2026-09-10 02:28:41 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL3Zlcml4YS5wYWdlcy5kZXY=,Low,,2026-09-10 02:29:12 (UTC)
Attention Required! | Cloudflare,aHR0cDovL2loYWJkenouZ2l0aHViLmlv,Dangerous,US,2026-09-10 02:29:43 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2xlZGdycmxpdmUtYXBwLWVuZy5wYWdlcy5kZXY=,Low,,2026-09-10 02:30:45 (UTC)
Suspected Malware | Cloudflare,aHR0cDovL2Rza3JwNDU4YmYtbWJqc2tyLTN3MnI4Zy1kc2twczAxYy5wYWdlcy5kZXY=,Low,,2026-09-10 02:31:26 (UTC)
"Yahoo | Mail, Weather, Search, Politics, News, Finance, Sports & Videos",aHR0cDovL3poLndhdmUtd2hhdHNhcHAuY29t,Critical,,2026-09-10 02:31:47 (UTC)
Deployment Unavailable,aHR0cDovL3d3dy5hY2NvdW50LXZlcmlmaWNhdGlvbi1jYXNlODM1LnZlcmNlbC5hcHA=,Low,US,2026-09-10 02:32:28 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL3NyZmdkMy5wYWdlcy5kZXY=,Low,,2026-09-10 02:33:10 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2xlZGdyZWNvbS1saXZlcy5wYWdlcy5kZXY=,Low,,2026-09-10 02:33:31 (UTC)
Sign in to your account,aHR0cDovL3Rhc2stbWFzdGVyLXN1aXRlLS1jYXJlZXJzNDYucmVwbGl0LmFwcA==,Low,US,2026-09-10 02:34:02 (UTC)
Site not found · GitHub Pages,aHR0cDovL3JhanByYXRhcHNpbmdoMjgwMy1jbXlrLmdpdGh1Yi5pbw==,Low,US,2026-09-10 02:36:16 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2JkZjg4LTE0N3NrLXF0ejE1LTE0N3d1LThiN2M5ZC1scHI0Ny0xNDdhLnBhZ2VzLmRldg==,Low,,2026-09-10 02:36:36 (UTC)
,aHR0cDovL20tcmVsYWktYmUuYm9sdC5ob3N0,Critical,,2026-09-10 02:37:28 (UTC)
UniDexAI,aHR0cDovL3d3dy51bmlkZXhhaS10ZW1wLnZlcmNlbC5hcHA=,Low,US,2026-09-10 02:38:09 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2FjZXNzby1uZXQtZW1wcmVzYXMubmV0,Critical,,2026-09-10 02:40:03 (UTC)
Ivana Alawi Espesyal sa Facebook,aHR0cDovL2FuZ2VsdGVtbnNpaGxhaC5ibG9nc3BvdC5jb20=,Low,US,2026-09-10 02:40:54 (UTC)
