title,domain,score,country_code,reg_dtime
404 Not Found,aHR0cDovL215LXdhbGxldGZpeC1pZC1hcHBsZS5jb20=,Critical,,2026-09-07 02:20:03 (UTC)
"Yahoo | Mail, Weather, Search, Politics, News, Finance, Sports & Videos",aHR0cDovL3ByZW1pdW0uY29tbS13aGF0c2FwcC5jb20=,Critical,US,2026-09-07 02:20:23 (UTC)
Connect Your Metamask,aHR0cDovL21ldGFtYXNrLWNvbm5lY3QudmVyY2VsLmFwcA==,Critical,US,2026-09-07 02:21:25 (UTC)
Live Sports Streaming Online – Watch Every Game Instantly | AnswerHarbor,aHR0cDovL3BheXBhbC1zZWN1cml0eS11cGRhdGUtdmVyaWZpY2F0aW9uLmZhbmR1ZWxzb3BydHNuZXR3b3JrLmNvbQ==,Critical,US,2026-09-07 02:22:27 (UTC)
Human verification,aHR0cDovL2xlYm9uY29pbi5wYWdlcmVzZXJ2YXRpb24uY29t,Low,LU,2026-09-07 02:22:58 (UTC)
"Yahoo | Mail, Weather, Search, Politics, News, Finance, Sports & Videos",aHR0cDovL3BhdGNoLmNvbW0td2hhdHNhcHAuY29t,Critical,JP,2026-09-07 02:23:39 (UTC)
Suspected Phishing | Cloudflare,aHR0cDovL2xlZGdlci1saXZlLWVuZy5wYWdlcy5kZXY=,Low,,2026-09-07 02:24:31 (UTC)
SHOPEE,aHR0cDovL3VuZGlhbnNob3BlZS1tYXJ0MTIuYmxvZ3Nwb3QuY29t,Low,US,2026-09-07 02:25:12 (UTC)
Meta Verified - 보상 혜택,aHR0cDovL2ZiLW1ldGEtdmVyaWZpZWQtNDcwOTEudmVyY2VsLmFwcA==,Low,US,2026-09-07 02:26:14 (UTC)
Robinhood Chain: Claim Airdrop Rewards,aHR0cDovL3d3dy5jbGFpbS1yb2Jpbi1ob29kLWRyb3AudmVyY2VsLmFwcA==,Safe,US,2026-09-07 02:26:35 (UTC)
PT.SHOPEE INDONESIA PUSAT2020 12.12,aHR0cDovL3d3dy5zaG9wZWUtaW5kb25lc2lhMTIxMi5ibG9nc3BvdC5jb20=,Low,US,2026-09-07 02:27:26 (UTC)
